"station_id","year","extreme_type","month","day","flow","sym"
"05BB001",1909,"maximum",7,7,314,NA
"05BB001",1910,"maximum",6,12,230,NA
"05BB001",1911,"maximum",6,14,264,NA
"05BB001",1912,"maximum",8,25,174,NA
"05BB001",1913,"maximum",6,11,232,NA
"05BB001",1914,"maximum",6,18,214,NA
"05BB001",1915,"maximum",6,27,236,NA
"05BB001",1916,"maximum",6,20,309,NA
"05BB001",1917,"maximum",6,17,174,NA
"05BB001",1918,"maximum",6,15,345,NA
"05BB001",1919,"maximum",6,22,185,NA
"05BB001",1920,"maximum",7,3,248,NA
"05BB001",1921,"maximum",6,9,171,NA
"05BB001",1922,"maximum",6,5,209,NA
"05BB001",1923,"maximum",6,14,377,NA
"05BB001",1924,"maximum",7,5,167,NA
"05BB001",1925,"maximum",5,23,212,NA
"05BB001",1926,"maximum",7,7,130,NA
"05BB001",1927,"maximum",6,27,221,NA
"05BB001",1928,"maximum",5,28,289,NA
"05BB001",1929,"maximum",6,2,215,NA
"05BB001",1930,"maximum",6,8,263,NA
"05BB001",1931,"maximum",6,18,187,NA
"05BB001",1932,"maximum",6,3,279,NA
"05BB001",1933,"maximum",6,17,311,NA
"05BB001",1934,"maximum",5,31,269,NA
"05BB001",1935,"maximum",6,16,197,NA
"05BB001",1936,"maximum",6,1,219,NA
"05BB001",1937,"maximum",6,17,148,NA
"05BB001",1938,"maximum",6,23,220,NA
"05BB001",1939,"maximum",5,29,178,NA
"05BB001",1940,"maximum",5,26,204,NA
"05BB001",1941,"maximum",6,25,126,NA
"05BB001",1942,"maximum",7,5,166,NA
"05BB001",1943,"maximum",7,10,209,NA
"05BB001",1944,"maximum",6,12,158,NA
"05BB001",1945,"maximum",6,22,126,NA
"05BB001",1946,"maximum",5,29,204,NA
"05BB001",1947,"maximum",6,11,167,NA
"05BB001",1948,"maximum",6,9,292,NA
"05BB001",1949,"maximum",6,7,121,NA
"05BB001",1950,"maximum",6,21,286,NA
"05BB001",1951,"maximum",6,16,243,NA
"05BB001",1952,"maximum",6,30,155,NA
"05BB001",1953,"maximum",6,14,260,NA
"05BB001",1954,"maximum",7,8,286,NA
"05BB001",1955,"maximum",6,24,246,NA
"05BB001",1956,"maximum",6,5,257,NA
"05BB001",1957,"maximum",5,20,152,NA
"05BB001",1958,"maximum",5,26,191,NA
"05BB001",1959,"maximum",6,22,212,NA
"05BB001",1960,"maximum",7,1,182,NA
"05BB001",1961,"maximum",6,7,266,NA
"05BB001",1962,"maximum",6,26,184,NA
"05BB001",1963,"maximum",6,19,183,NA
"05BB001",1964,"maximum",6,14,246,NA
"05BB001",1965,"maximum",6,19,289,NA
"05BB001",1966,"maximum",6,1,225,NA
"05BB001",1967,"maximum",6,22,275,NA
"05BB001",1968,"maximum",6,27,191,NA
"05BB001",1969,"maximum",6,6,203,NA
"05BB001",1970,"maximum",6,5,155,NA
"05BB001",1971,"maximum",6,7,199,NA
"05BB001",1972,"maximum",6,12,311,NA
"05BB001",1973,"maximum",6,24,215,NA
"05BB001",1974,"maximum",6,25,317,NA
"05BB001",1975,"maximum",7,14,144,NA
"05BB001",1976,"maximum",7,1,191,NA
"05BB001",1977,"maximum",6,9,207,NA
"05BB001",1978,"maximum",6,6,189,NA
"05BB001",1979,"maximum",6,13,150,NA
"05BB001",1980,"maximum",5,22,190,NA
"05BB001",1981,"maximum",5,27,227,NA
"05BB001",1982,"maximum",6,22,192,NA
"05BB001",1983,"maximum",5,31,155,NA
"05BB001",1984,"maximum",6,30,220,"E"
"05BB001",1985,"maximum",5,25,160,NA
"05BB001",1986,"maximum",6,2,313,NA
"05BB001",1987,"maximum",6,17,146,"A"
"05BB001",1988,"maximum",6,8,244,NA
"05BB001",1989,"maximum",6,16,208,NA
"05BB001",1990,"maximum",6,25,239,NA
"05BB001",1991,"maximum",7,4,242,NA
"05BB001",1992,"maximum",6,13,131,NA
"05BB001",1993,"maximum",6,2,128,NA
"05BB001",1994,"maximum",6,27,147,"A"
"05BB001",1995,"maximum",6,7,263,NA
"05BB001",1996,"maximum",6,9,231,NA
"05BB001",1997,"maximum",6,6,213,NA
"05BB001",1998,"maximum",5,28,133,NA
"05BB001",1999,"maximum",6,19,205,NA
"05BB001",2000,"maximum",7,2,153,NA
"05BB001",2001,"maximum",5,29,165,NA
"05BB001",2002,"maximum",6,29,226,NA
"05BB001",2003,"maximum",6,11,164,NA
"05BB001",2004,"maximum",6,12,162,NA
"05BB001",2005,"maximum",6,23,167,NA
"05BB001",2006,"maximum",5,21,168,NA
"05BB001",2007,"maximum",6,7,298,NA
"05BB001",2008,"maximum",7,1,163,NA
"05BB001",2009,"maximum",6,17,143,NA
"05BB001",2010,"maximum",6,30,138,NA
"05BB001",2011,"maximum",6,23,179,NA
"05BB001",2012,"maximum",6,7,332,NA
"05BB001",2013,"maximum",6,21,466,NA
"05BB001",2014,"maximum",6,26,178,NA
"05BB001",2015,"maximum",6,9,151,NA
"05BB001",2016,"maximum",6,8,107,NA
"05BB001",2018,"maximum",5,27,199,NA
"05BB001",1909,"minimum",NA,NA,NA,NA
"05BB001",1910,"minimum",NA,NA,NA,NA
"05BB001",1911,"minimum",2,27,5.75,NA
"05BB001",1912,"minimum",3,14,5.8,NA
"05BB001",1913,"minimum",3,18,6.12,"B"
"05BB001",1914,"minimum",11,17,7.16,NA
"05BB001",1915,"minimum",1,27,6.94,NA
"05BB001",1916,"minimum",3,2,6.97,"B"
"05BB001",1917,"minimum",2,23,6.06,"B"
"05BB001",1918,"minimum",2,20,6.03,"B"
"05BB001",1919,"minimum",2,28,4.56,"B"
"05BB001",1920,"minimum",4,3,5.69,"B"
"05BB001",1921,"minimum",3,11,6.37,"B"
"05BB001",1922,"minimum",3,27,6.57,"B"
"05BB001",1923,"minimum",12,20,6.43,"E"
"05BB001",1924,"minimum",4,20,6.26,NA
"05BB001",1925,"minimum",12,31,5.44,"B"
"05BB001",1926,"minimum",4,5,5.52,"B"
"05BB001",1927,"minimum",2,17,6.48,"B"
"05BB001",1928,"minimum",12,29,6.09,"B"
"05BB001",1929,"minimum",4,8,4.9,"B"
"05BB001",1930,"minimum",12,29,6,"B"
"05BB001",1931,"minimum",3,26,4.7,"B"
"05BB001",1932,"minimum",1,5,3.62,"B"
"05BB001",1933,"minimum",12,26,5.27,"B"
"05BB001",1934,"minimum",2,26,4.08,"B"
"05BB001",1935,"minimum",12,19,5.95,"B"
"05BB001",1936,"minimum",2,16,5.64,"B"
"05BB001",1937,"minimum",2,14,5.15,"B"
"05BB001",1938,"minimum",2,15,6.63,"B"
"05BB001",1939,"minimum",2,10,5.49,"B"
"05BB001",1940,"minimum",3,12,6.43,"B"
"05BB001",1941,"minimum",11,23,6.14,NA
"05BB001",1942,"minimum",2,17,6.37,"B"
"05BB001",1943,"minimum",2,28,5.04,"B"
"05BB001",1944,"minimum",3,13,5.55,"B"
"05BB001",1945,"minimum",4,11,6.99,NA
"05BB001",1946,"minimum",3,14,7.7,"B"
"05BB001",1947,"minimum",3,4,7.31,"B"
"05BB001",1948,"minimum",1,27,8.41,"B"
"05BB001",1949,"minimum",12,11,6.09,"B"
"05BB001",1950,"minimum",3,31,5.04,NA
"05BB001",1951,"minimum",3,5,4.25,"B"
"05BB001",1952,"minimum",4,1,6.06,NA
"05BB001",1953,"minimum",2,9,6,"B"
"05BB001",1954,"minimum",3,28,6.43,"B"
"05BB001",1955,"minimum",2,11,6.74,"B"
"05BB001",1956,"minimum",12,6,6.09,"B"
"05BB001",1957,"minimum",3,5,5.86,"B"
"05BB001",1958,"minimum",3,1,6.14,"B"
"05BB001",1959,"minimum",1,3,6.68,"B"
"05BB001",1960,"minimum",2,27,7.25,"B"
"05BB001",1961,"minimum",1,19,7.59,"B"
"05BB001",1962,"minimum",2,5,5.44,"B"
"05BB001",1963,"minimum",2,2,6.43,"B"
"05BB001",1964,"minimum",3,23,7.31,"B"
"05BB001",1965,"minimum",3,18,7.87,"B"
"05BB001",1966,"minimum",3,3,7.93,"B"
"05BB001",1967,"minimum",3,11,7.53,"B"
"05BB001",1968,"minimum",4,22,7.53,NA
"05BB001",1969,"minimum",1,31,7.5,"B"
"05BB001",1970,"minimum",11,23,5.21,"B"
"05BB001",1971,"minimum",3,22,5.41,"B"
"05BB001",1972,"minimum",3,1,7.16,"B"
"05BB001",1973,"minimum",1,4,6.71,"B"
"05BB001",1974,"minimum",3,22,6.09,"B"
"05BB001",1975,"minimum",3,8,5.66,"B"
"05BB001",1976,"minimum",3,23,5.95,"B"
"05BB001",1977,"minimum",11,21,5.83,"B"
"05BB001",1978,"minimum",1,30,5.75,"B"
"05BB001",1979,"minimum",2,9,5.4,"B"
"05BB001",1980,"minimum",3,4,4.14,"B"
"05BB001",1981,"minimum",2,10,7.24,"B"
"05BB001",1982,"minimum",1,16,6.15,"B"
"05BB001",1983,"minimum",12,2,5.83,NA
"05BB001",1984,"minimum",3,14,5.91,"B"
"05BB001",1985,"minimum",3,3,6.04,"B"
"05BB001",1986,"minimum",2,18,5.55,"B"
"05BB001",1987,"minimum",11,30,6.19,"B"
"05BB001",1988,"minimum",1,5,5.11,"B"
"05BB001",1989,"minimum",3,30,6.4,"B"
"05BB001",1990,"minimum",3,23,8.12,"B"
"05BB001",1991,"minimum",3,2,6.39,"B"
"05BB001",1992,"minimum",12,28,6.88,"B"
"05BB001",1993,"minimum",2,15,5.64,"B"
"05BB001",1994,"minimum",2,25,7.35,"B"
"05BB001",1995,"minimum",2,11,4.85,"B"
"05BB001",1996,"minimum",2,26,6.51,"B"
"05BB001",1997,"minimum",2,28,6.73,"B"
"05BB001",1998,"minimum",12,20,6.25,"B"
"05BB001",1999,"minimum",1,24,6.68,"B"
"05BB001",2000,"minimum",12,11,7.88,"B"
"05BB001",2001,"minimum",3,15,6.27,"B"
"05BB001",2002,"minimum",3,17,5.58,"B"
"05BB001",2003,"minimum",2,23,5.64,"B"
"05BB001",2004,"minimum",1,26,7.8,"B"
"05BB001",2005,"minimum",3,24,8.44,"B"
"05BB001",2006,"minimum",2,18,7.83,"B"
"05BB001",2007,"minimum",2,14,7.98,"B"
"05BB001",2008,"minimum",3,31,7,"B"
"05BB001",2009,"minimum",12,7,6.3,"B"
"05BB001",2010,"minimum",4,5,6.4,"B"
"05BB001",2011,"minimum",1,30,7.13,"B"
"05BB001",2012,"minimum",12,25,6.12,"B"
"05BB001",2013,"minimum",1,2,5.31,"B"
"05BB001",2014,"minimum",1,28,6.09,"B"
"05BB001",2015,"minimum",3,4,6.59,"B"
"05BB001",2016,"minimum",3,28,7.7,"B"
"05BB001",2018,"minimum",3,31,6.77,"B"
